folder,gpu,status,return_code,started_at,ended_at,elapsed_seconds,Ec,Pr,rp,alpha,beta,gamma
MFM_t_8_scr_11,0,simulation_ok,0,2026-08-15T15:42:27.501892+08:00,2026-08-15T16:09:12.507302+08:00,1605.005,5.625000000000e+08,4.600000000000e-01,1.613700000000e+00,-2.808067350003e+09,8.404617002382e+09,2.299632631340e+10
MFM_t_8_scr_12,0,simulation_ok,0,2026-08-15T16:09:12.557544+08:00,2026-08-15T18:41:42.602007+08:00,9150.044,3.125000000000e+08,2.000000000000e-02,1.613700000000e+00,-3.588086058337e+10,5.681054170443e+13,8.222902438498e+16
MFM_t_8_scr_13,0,simulation_ok,0,2026-08-15T18:41:42.734218+08:00,2026-08-15T21:11:12.764455+08:00,8970.030,3.125000000000e+08,9.000000000000e-01,1.613700000000e+00,-7.973524574082e+08,6.234352999115e+08,4.456178394756e+08
MFM_t_8_scr_14,0,simulation_ok,0,2026-08-15T21:11:12.898207+08:00,2026-08-15T21:54:42.909625+08:00,2610.011,3.124999999999e+08,4.600000000000e-01,1.495400000000e+00,-1.269984774757e+09,2.406386269654e+06,2.835260878996e+10
MFM_t_8_scr_15,0,simulation_ok,0,2026-08-15T21:54:42.969697+08:00,2026-08-15T22:58:42.987424+08:00,3840.018,3.125000000000e+08,4.600000000000e-01,1.732000000000e+00,-1.764919761748e+09,8.339729561685e+09,5.203546282301e+06
MFM_t_8_mxi_1,0,simulation_ok,0,2026-08-16T16:20:38.357598+08:00,2026-08-16T16:21:23.358511+08:00,45.001,6.730958558032e+07,2.295377473134e-02,1.498407615790e+00,-5.521479789317e+09,2.477732312390e+11,1.941992554071e+16
MFM_t_8_mxi_2,0,simulation_failed,143,2026-08-16T16:21:23.390502+08:00,2026-08-16T16:23:53.391803+08:00,150.001,5.596262449855e+08,2.418655305115e-02,1.730572292254e+00,-6.003697817313e+10,1.022342771804e+14,6.750628508365e+14
MFM_t_8_mxi_3,0,simulation_failed,143,2026-08-16T16:23:53.424496+08:00,2026-08-16T16:25:08.425466+08:00,75.001,5.494519689438e+08,2.178467440365e-02,1.503623526782e+00,-4.807090442711e+10,6.341019862580e+12,2.000795213396e+17
MFM_t_8_mxi_4,0,simulation_ok,0,2026-08-16T16:25:08.450731+08:00,2026-08-16T16:26:23.451936+08:00,75.001,5.367149577707e+08,1.457085805473e-01,1.725413942095e+00,-9.514641767259e+09,4.403610532577e+11,3.668078436089e+11
MFM_t_8_mxi_5,0,simulation_ok,0,2026-08-16T16:26:23.485165+08:00,2026-08-16T16:27:23.486106+08:00,60.001,6.813512747863e+07,2.068103013174e-02,1.712907458140e+00,-8.415196346032e+09,1.867394499937e+13,2.341075167590e+15
MFM_t_8_mxi_6,0,simulation_ok,0,2026-08-16T16:27:23.531229+08:00,2026-08-16T16:28:23.532050+08:00,60.001,5.580395980160e+08,1.129124598617e-01,1.603074357324e+00,-1.119270862183e+10,5.197460708486e+11,2.809323145074e+13
MFM_t_8_mxi_7,0,simulation_ok,0,2026-08-16T16:28:23.564475+08:00,2026-08-16T16:30:53.565649+08:00,150.001,7.517727869569e+07,1.171300057246e-01,1.609359246685e+00,-1.465649541598e+09,6.588079225006e+10,2.984768725842e+12
MFM_t_8_mxi_8,0,simulation_ok,0,2026-08-16T16:30:53.600771+08:00,2026-08-16T16:31:38.601729+08:00,45.001,5.439160634677e+08,4.688080112686e-02,1.617820399603e+00,-2.678227529191e+10,7.906582149666e+12,1.947080724430e+15
MFM_t_8_mxi_9,0,simulation_ok,0,2026-08-16T16:31:38.635592+08:00,2026-08-16T16:32:38.636724+08:00,60.001,8.158382737056e+07,4.926848571481e-02,1.608969966881e+00,-3.779430617261e+09,9.578334327182e+11,2.468353849582e+14
MFM_t_8_mxi_10,0,simulation_ok,0,2026-08-16T16:32:38.669474+08:00,2026-08-16T16:34:38.670748+08:00,120.001,6.478218048330e+07,8.396606570410e-02,1.716239222966e+00,-1.976652897584e+09,2.686280861837e+11,1.664648750087e+12
MFM_t_8_mxi_11,0,simulation_ok,0,2026-08-16T16:34:38.701579+08:00,2026-08-16T16:36:23.702945+08:00,105.001,6.696301233958e+07,8.764124197291e-02,1.508090140027e+00,-1.470953793930e+09,1.813190694329e+10,2.257182696581e+13
MFM_t_8_mxi_12,0,simulation_ok,0,2026-08-16T16:36:23.736310+08:00,2026-08-16T16:37:38.737213+08:00,75.001,3.073613803965e+08,1.476933509700e-01,1.496178868697e+00,-3.897719534287e+09,1.157262948403e+09,8.138510600864e+12
MFM_t_8_mxi_13,0,simulation_failed,143,2026-08-16T16:37:38.769508+08:00,2026-08-16T16:44:23.772285+08:00,405.003,3.057126856671e+08,2.001060435070e-02,1.499227788824e+00,-2.882220877856e+10,2.150770962392e+12,1.743860296872e+17
MFM_t_8_mxi_14,0,simulation_ok,0,2026-08-16T16:44:23.808867+08:00,2026-08-16T16:45:08.809740+08:00,45.001,3.202606329012e+08,2.203018577017e-02,1.726416618261e+00,-3.758395803353e+10,7.629909764964e+13,2.351093746622e+15
MFM_t_8_mxi_15,0,simulation_ok,0,2026-08-16T16:45:08.841158+08:00,2026-08-16T16:45:53.842395+08:00,45.001,5.545309356270e+08,8.280634198235e-02,1.495425074226e+00,-1.251972644365e+10,1.090333543539e+09,2.661221471677e+14
MFM_t_8_mxi_16,0,simulation_ok,0,2026-08-16T16:45:53.875191+08:00,2026-08-16T16:46:38.876174+08:00,45.001,5.438387530078e+08,8.196053207553e-02,1.705936259860e+00,-1.684002912699e+10,2.331304466284e+12,2.613671214488e+13
MFM_t_8_mxi_17,0,simulation_ok,0,2026-08-16T16:46:38.905022+08:00,2026-08-16T16:48:08.906128+08:00,90.001,3.013865643105e+08,1.439430257110e-01,1.727812865821e+00,-5.419788768595e+09,2.586835853370e+11,1.396913900053e+11
MFM_t_8_mxi_18,0,simulation_ok,0,2026-08-16T16:48:08.949501+08:00,2026-08-16T16:49:38.950522+08:00,90.001,4.168879717938e+08,1.187737676343e-01,1.668506330938e+00,-8.585690481897e+09,4.993717215212e+11,7.742948278801e+12
MFM_t_8_mxi_19,0,simulation_ok,0,2026-08-16T16:49:38.978972+08:00,2026-08-16T16:50:23.979982+08:00,45.001,4.145026976683e+08,5.135216535245e-02,1.551585100738e+00,-1.691270027837e+10,2.296289381540e+12,1.561298987128e+15
MFM_t_8_mxi_20,0,simulation_ok,0,2026-08-16T16:50:24.012175+08:00,2026-08-16T16:51:54.013039+08:00,90.001,2.066205554754e+08,1.145256099608e-01,1.546127262242e+00,-3.744503511521e+09,9.393932185915e+10,1.460412887723e+13
MFM_t_8_mxi_21,0,simulation_ok,0,2026-08-16T16:51:54.045425+08:00,2026-08-16T16:53:09.046553+08:00,75.001,4.192921466852e+08,1.153586983382e-01,1.541623300022e+00,-7.483321923592e+09,1.711545999589e+11,2.939506384885e+13
MFM_t_8_mxi_22,0,simulation_ok,0,2026-08-16T16:53:09.072148+08:00,2026-08-16T16:54:39.073143+08:00,90.001,1.984257894843e+08,1.113187857865e-01,1.681498522370e+00,-4.418469173694e+09,3.066036292021e+11,4.031533594350e+12
MFM_t_8_mxi_23,0,simulation_ok,0,2026-08-16T16:54:39.105479+08:00,2026-08-16T16:55:39.106397+08:00,60.001,2.120904007092e+08,5.583069263496e-02,1.668921010135e+00,-9.296344519833e+09,2.450946125280e+12,1.704987355805e+14
MFM_t_8_mxi_24,0,simulation_ok,0,2026-08-16T16:55:39.138135+08:00,2026-08-16T16:56:39.138886+08:00,60.001,2.128246860214e+08,5.393766828808e-02,1.540564943165e+00,-8.108185633525e+09,8.318164028284e+11,6.720577583024e+14
MFM_t_8_mxi_25,0,simulation_ok,0,2026-08-16T16:56:39.171146+08:00,2026-08-16T16:57:24.171847+08:00,45.001,4.032823344774e+08,5.678571474384e-02,1.679950924388e+00,-1.757672668249e+10,4.661966934207e+12,2.446267066928e+14
MFM_t_8_mxi_26,0,simulation_ok,0,2026-08-16T16:57:24.195632+08:00,2026-08-16T16:59:39.196770+08:00,135.001,1.594657182766e+08,1.499713830552e-01,1.647427382229e+00,-2.542323216818e+09,8.511281621732e+10,1.241471529429e+12
MFM_t_8_mxi_27,0,simulation_ok,0,2026-08-16T16:59:39.231537+08:00,2026-08-16T17:01:09.233320+08:00,90.002,4.894429666561e+08,1.498250396980e-01,1.619688264352e+00,-7.558643861251e+09,2.208144740219e+11,5.163607902926e+12
MFM_t_8_mxi_28,0,simulation_failed,143,2026-08-16T17:01:09.259811+08:00,2026-08-16T17:13:54.264675+08:00,765.005,1.729404058410e+08,2.041626719716e-02,1.577144011435e+00,-1.849153154038e+10,2.138868241637e+13,5.511738117302e+16
MFM_t_8_mxi_29,0,simulation_ok,0,2026-08-16T17:13:54.297549+08:00,2026-08-16T17:15:09.298398+08:00,75.001,1.232732941934e+08,8.345872542829e-02,1.575994992372e+00,-3.218824882945e+09,2.203938165755e+11,3.470391399882e+13
MFM_t_8_mxi_30,0,simulation_ok,0,2026-08-16T17:15:09.330451+08:00,2026-08-16T17:15:54.331102+08:00,45.001,4.638669823425e+08,8.392299788305e-02,1.627547213787e+00,-1.291307609793e+10,1.254798086325e+12,8.215824861341e+13
MFM_t_8_mxi_31,0,simulation_ok,0,2026-08-16T18:39:50.452544+08:00,2026-08-16T18:41:50.453896+08:00,120.001,1.161696712919e+08,1.464433329817e-01,1.566891522878e+00,-1.704544102289e+09,3.453394226773e+10,2.095907715079e+12
MFM_t_8_mxi_32,0,simulation_ok,0,2026-08-16T18:41:50.487095+08:00,2026-08-16T18:42:35.487978+08:00,45.001,5.565932483821e+08,7.922635201743e-02,1.567757312126e+00,-1.511634786184e+10,1.056307874999e+12,2.153919419797e+14
MFM_t_8_mxi_33,0,simulation_timeout,1,2026-08-16T18:42:35.521514+08:00,2026-08-16T18:46:05.838180+08:00,210.317,4.521915575050e+08,2.253538268407e-02,1.659071442176e+00,-4.859475808068e+10,7.567870897517e+13,3.940140744998e+16
MFM_t_8_mxi_34,0,simulation_ok,0,2026-08-16T18:46:20.897513+08:00,2026-08-16T18:46:50.898284+08:00,30.001,1.414950168440e+08,2.198557461247e-02,1.654135846045e+00,-1.550265862854e+10,2.485622275391e+13,1.492888845679e+16
MFM_t_8_mxi_35,0,simulation_ok,0,2026-08-16T18:46:50.931172+08:00,2026-08-16T18:48:50.932547+08:00,120.001,7.103337154450e+07,8.155940482722e-02,1.642605127007e+00,-2.071043081158e+09,2.294013366792e+11,1.231867558646e+13
MFM_t_8_mxi_36,0,simulation_ok,0,2026-08-16T18:48:50.966535+08:00,2026-08-16T18:49:50.967587+08:00,60.001,5.589623046158e+08,1.159187342569e-01,1.681742158428e+00,-1.195575246250e+10,7.657326934583e+11,9.229685955651e+12
MFM_t_8_mxi_37,0,simulation_ok,0,2026-08-16T18:49:50.999177+08:00,2026-08-16T18:51:06.000466+08:00,75.001,2.364515329718e+08,1.168537387936e-01,1.618632402796e+00,-4.675763857830e+09,2.232122923790e+11,8.730572605914e+12
MFM_t_8_mxi_38,0,simulation_ok,0,2026-08-16T18:51:06.033567+08:00,2026-08-16T18:52:06.034508+08:00,60.001,5.518590398872e+08,1.461125659207e-01,1.560798048078e+00,-8.036630598188e+09,1.524082677510e+11,1.049396525253e+13
MFM_t_8_mxi_39,0,simulation_timeout,1,2026-08-16T18:52:06.058934+08:00,2026-08-16T18:55:36.374205+08:00,210.315,4.660658447592e+08,2.145829222030e-02,1.588896316125e+00,-4.823611322480e+10,5.590618396871e+13,1.060911714782e+17
MFM_t_8_mxi_40,0,simulation_ok,0,2026-08-16T18:55:51.432521+08:00,2026-08-16T18:56:51.433903+08:00,60.001,4.348361074024e+08,1.017987809860e-01,1.730041356899e+00,-1.107840282246e+10,1.063441046359e+12,5.398184659487e+11
MFM_t_8_mxi_41,0,simulation_ok,0,2026-08-16T18:56:51.459154+08:00,2026-08-16T18:57:51.460285+08:00,60.001,1.723775025864e+08,6.356097937986e-02,1.730391893616e+00,-7.035850564870e+09,1.734027504515e+12,1.861506858148e+12
MFM_t_8_mxi_42,0,simulation_ok,0,2026-08-16T18:57:51.492495+08:00,2026-08-16T19:00:36.493834+08:00,165.001,6.790161057626e+07,1.204761071038e-01,1.687681998180e+00,-1.405669065354e+09,8.503890724320e+10,8.134622681613e+11
MFM_t_8_mxi_43,0,simulation_ok,0,2026-08-16T19:00:36.529372+08:00,2026-08-16T19:02:06.530368+08:00,90.001,4.208727180507e+08,1.498709166893e-01,1.531976634270e+00,-5.678948898771e+09,6.295684698300e+10,8.453469662120e+12
MFM_t_8_mxi_44,0,simulation_ok,0,2026-08-16T19:02:06.558235+08:00,2026-08-16T19:03:06.559463+08:00,60.001,3.815829506794e+08,1.143209757384e-01,1.602638170428e+00,-7.554777132963e+09,3.412187461255e+11,1.812165777043e+13
MFM_t_8_mxi_45,0,simulation_ok,0,2026-08-16T19:03:06.591467+08:00,2026-08-16T19:04:21.592534+08:00,75.001,7.378768829300e+07,5.006813763635e-02,1.545801984966e+00,-3.057005962790e+09,3.991203185405e+11,3.272499157273e+14
MFM_t_8_mxi_46,0,simulation_ok,0,2026-08-16T19:04:21.619155+08:00,2026-08-16T19:04:51.619903+08:00,30.001,5.560513964223e+08,5.012514074344e-02,1.681605935915e+00,-2.750098068412e+10,9.415435494676e+12,6.089873889365e+14
MFM_t_8_mxi_47,0,simulation_ok,0,2026-08-16T19:04:51.645181+08:00,2026-08-16T19:06:06.646169+08:00,75.001,5.443920014763e+08,4.364445352263e-02,1.553636926566e+00,-2.622678793409e+10,5.076330223528e+12,4.563211977985e+15
MFM_t_8_mxi_48,0,simulation_ok,0,2026-08-16T19:06:06.672089+08:00,2026-08-16T19:06:51.672918+08:00,45.001,2.417844386004e+08,5.627041535306e-02,1.603879814108e+00,-9.741526339631e+09,1.831249769283e+12,3.932970773255e+14
MFM_t_8_mxi_49,0,simulation_ok,0,2026-08-16T19:06:51.704479+08:00,2026-08-16T19:09:06.705738+08:00,135.001,6.321295983922e+07,1.178719172625e-01,1.542108444245e+00,-1.105107580554e+09,2.442328857644e+10,3.966980940770e+12
MFM_t_8_mxi_50,0,simulation_ok,0,2026-08-16T19:09:06.739459+08:00,2026-08-16T19:10:21.740424+08:00,75.001,7.753306868821e+07,5.175168141134e-02,1.673756786314e+00,-3.684666385463e+09,1.151010272772e+12,8.392482198460e+13
MFM_t_8_mxi_51,0,simulation_ok,0,2026-08-16T19:10:21.773250+08:00,2026-08-16T19:11:06.774482+08:00,45.001,4.405390053518e+08,4.045677136947e-02,1.731843062915e+00,-2.828569643664e+10,1.727228954464e+13,5.700171938381e+12
MFM_t_8_mxi_52,0,simulation_ok,0,2026-08-16T19:11:06.806474+08:00,2026-08-16T19:11:36.807289+08:00,30.001,3.961851845973e+08,5.246991766252e-02,1.613064792575e+00,-1.732517554010e+10,3.970303838148e+12,8.436636245212e+14
MFM_t_8_mxi_53,0,simulation_ok,0,2026-08-16T19:11:51.871046+08:00,2026-08-16T19:12:51.872029+08:00,60.001,3.166865487877e+08,9.551802044465e-02,1.673732806312e+00,-8.153973276817e+09,7.476369394688e+11,1.601076122309e+13
MFM_t_8_mxi_54,0,simulation_ok,0,2026-08-16T19:12:51.904421+08:00,2026-08-16T19:13:51.905889+08:00,60.001,3.522852623004e+08,8.233252242864e-02,1.553527175674e+00,-8.995073220054e+09,4.884915162575e+11,1.236944679692e+14
MFM_t_8_mxi_55,0,simulation_ok,0,2026-08-16T19:13:51.938454+08:00,2026-08-16T19:14:36.939340+08:00,45.001,5.464067673662e+08,1.091908620905e-01,1.541769544598e+00,-1.030558622673e+10,2.637867174263e+11,5.037339979727e+13
MFM_t_8_mxi_56,0,simulation_ok,0,2026-08-16T19:14:36.964766+08:00,2026-08-16T19:15:51.965776+08:00,75.001,2.978499971789e+08,1.308371217822e-01,1.666740670323e+00,-5.558279898857e+09,2.646427786745e+11,3.508185212893e+12
MFM_t_8_mxi_57,0,simulation_ok,0,2026-08-16T19:15:51.991259+08:00,2026-08-16T19:16:36.992109+08:00,45.001,4.224290501007e+08,4.040867690251e-02,1.495625969159e+00,-1.955341613652e+10,2.595878468345e+10,7.317818824798e+15
MFM_t_8_mxi_58,0,simulation_ok,0,2026-08-16T19:16:37.024406+08:00,2026-08-16T19:17:07.025421+08:00,30.001,1.976536789220e+08,2.144599185796e-02,1.714868586049e+00,-2.358297631363e+10,4.893865831214e+13,5.079942977681e+15
MFM_t_8_mxi_59,0,simulation_ok,0,2026-08-16T19:17:07.057535+08:00,2026-08-16T19:18:37.058974+08:00,90.001,1.854795057418e+08,1.375353223914e-01,1.505687210805e+00,-2.582379161834e+09,1.058895642555e+10,6.657315371958e+12
MFM_t_8_mxi_60,0,simulation_ok,0,2026-08-16T19:18:37.091173+08:00,2026-08-16T19:19:37.091997+08:00,60.001,1.899914431458e+08,8.700785209780e-02,1.628047421546e+00,-5.104523680283e+09,4.626786879645e+11,2.795086452308e+13
MFM_t_8_mxi_61,0,simulation_ok,0,2026-08-16T19:19:37.118091+08:00,2026-08-16T19:20:37.118985+08:00,60.001,1.882657220528e+08,9.254506985059e-02,1.499954459593e+00,-3.844443005226e+09,1.587733307056e+10,5.055690359133e+13
MFM_t_8_mxi_62,0,simulation_ok,0,2026-08-16T19:20:37.151488+08:00,2026-08-16T19:21:52.152689+08:00,75.001,3.192549102434e+08,1.375124829886e-01,1.559745554311e+00,-4.931521817667e+09,1.042241799650e+11,8.279847368142e+12
MFM_t_8_mxi_63,0,simulation_ok,0,2026-08-16T19:21:52.185211+08:00,2026-08-16T19:22:37.186010+08:00,45.001,4.354530760990e+08,7.465608005365e-02,1.499427875939e+00,-1.100917338396e+10,6.201456501616e+10,3.432735958756e+14
MFM_t_8_mxi_64,0,simulation_ok,0,2026-08-16T19:22:37.218304+08:00,2026-08-16T19:23:07.219109+08:00,30.001,2.709989024293e+08,2.765122695937e-02,1.668200566527e+00,-2.396574138905e+10,2.568921294464e+13,7.396559690723e+15
MFM_t_8_mxi_65,0,simulation_ok,0,2026-08-16T19:23:07.251194+08:00,2026-08-16T19:23:37.251911+08:00,30.001,2.962590651765e+08,3.381051603567e-02,1.561866749620e+00,-1.867706141974e+10,6.700869377737e+12,8.430521007683e+15
MFM_t_8_mxi_66,0,simulation_ok,0,2026-08-16T19:23:37.284550+08:00,2026-08-16T19:25:37.285919+08:00,120.001,1.677949233040e+08,1.357567897559e-01,1.718468323562e+00,-3.172983830016e+09,1.659908782798e+11,3.350028615369e+11
MFM_t_8_mxi_67,0,simulation_ok,0,2026-08-16T19:25:37.318475+08:00,2026-08-16T19:26:52.319901+08:00,75.001,2.741540974582e+08,1.165088801916e-01,1.495528325207e+00,-4.400244117176e+09,4.553508868873e+08,2.384680336916e+13
MFM_t_8_mxi_68,0,simulation_timeout,1,2026-08-16T19:26:52.352186+08:00,2026-08-16T19:30:22.717388+08:00,210.365,1.832849755745e+08,2.296865617933e-02,1.516143344435e+00,-1.563239285014e+10,4.437978450644e+12,4.775495811728e+16
MFM_t_8_mxi_69,0,simulation_ok,0,2026-08-16T19:30:37.776186+08:00,2026-08-16T19:31:52.777435+08:00,75.001,1.791272099189e+08,9.469820335930e-02,1.728368043983e+00,-4.898689420505e+09,5.410071903131e+11,5.853273833668e+11
MFM_t_8_mxi_70,0,simulation_ok,0,2026-08-16T19:31:52.803260+08:00,2026-08-16T19:33:07.804655+08:00,75.001,1.400191357400e+08,6.246685745601e-02,1.498887347088e+00,-4.225353963415e+09,2.955786772966e+10,2.699260972998e+14
MFM_t_8_mxi_71,0,simulation_ok,0,2026-08-16T19:33:07.837480+08:00,2026-08-16T19:33:52.838534+08:00,45.001,3.156597290338e+08,5.367947197399e-02,1.500056701800e+00,-1.111553654064e+10,1.394171978751e+11,1.290360064311e+15
MFM_t_8_mxi_72,0,simulation_ok,0,2026-08-16T19:33:52.864439+08:00,2026-08-16T19:35:07.865630+08:00,75.001,4.640063046852e+08,1.464129797155e-01,1.681721423216e+00,-7.857480662567e+09,3.154282914701e+11,2.384411596558e+12
MFM_t_8_mxi_73,0,simulation_ok,0,2026-08-16T19:35:07.899481+08:00,2026-08-16T19:35:52.900622+08:00,45.001,2.998701341284e+08,5.023683587284e-02,1.708027564248e+00,-1.517855833457e+10,5.627852470032e+12,1.531297906254e+14
MFM_t_8_mxi_74,0,simulation_ok,0,2026-08-16T19:35:52.932548+08:00,2026-08-16T19:37:22.933753+08:00,90.001,6.620562621302e+07,5.052857799971e-02,1.728411531325e+00,-3.393395025275e+09,1.316487811817e+12,4.943005210036e+12
MFM_t_8_mxi_75,0,simulation_ok,0,2026-08-16T19:37:22.966596+08:00,2026-08-16T19:39:22.967838+08:00,120.001,2.759977820318e+08,1.136632946254e-01,1.731659605709e+00,-6.306523644900e+09,4.876494274930e+11,3.842007373601e+10
MFM_t_8_mxi_76,0,simulation_ok,0,2026-08-16T19:39:23.001457+08:00,2026-08-16T19:40:08.002403+08:00,45.001,4.335103972407e+08,7.150669507448e-02,1.725117820946e+00,-1.565572924165e+10,3.006221442393e+12,1.087384154645e+13
MFM_t_8_mxi_77,0,simulation_ok,0,2026-08-16T19:40:08.034494+08:00,2026-08-16T19:41:08.035452+08:00,60.001,2.274546304121e+08,8.561880737628e-02,1.550762234585e+00,-5.558484964041e+09,2.682197479504e+11,6.684875364412e+13
MFM_t_8_mxi_78,0,simulation_ok,0,2026-08-16T19:41:08.068534+08:00,2026-08-16T19:41:53.069361+08:00,45.001,5.261546784652e+08,5.194033148954e-02,1.499694903975e+00,-1.913197333718e+10,2.369608383856e+11,2.540864329109e+15
MFM_t_8_mxi_79,0,simulation_ok,0,2026-08-16T19:41:53.101478+08:00,2026-08-16T19:42:38.102209+08:00,45.001,5.613379281594e+08,9.064089167178e-02,1.655189985154e+00,-1.493495343463e+10,1.415042214277e+12,4.902732406233e+13
MFM_t_8_mxi_80,0,simulation_ok,0,2026-08-16T19:42:38.130150+08:00,2026-08-16T19:43:38.131377+08:00,60.001,4.644099079993e+08,1.303123855533e-01,1.582348820858e+00,-7.840189566550e+09,2.333130623253e+11,1.344901154584e+13
MFM_t_8_mxi_81,0,simulation_ok,0,2026-08-16T19:43:38.163164+08:00,2026-08-16T19:44:23.163907+08:00,45.001,4.531195734952e+08,9.330995042206e-02,1.577785269460e+00,-1.061098882466e+10,5.911022772678e+11,7.208277824679e+13
