folder,design,seed,Ec,Pr,Pc0,rp,transition_order,alpha,beta,gamma,alpha_change_percent,beta_change_percent,gamma_change_percent
MFM_t_7_mxi_184,f_thickness,20260712,5.473723532228e+08,1.338106163333e-01,8.333926081169e-02,1.605613189150e+00,second_order,-9.295442085255e+09,3.125624729498e+11,1.153753484495e+13,-49.73135640519272,-98.53865485089172,-99.97906733847036
MFM_t_7_mxi_185,f_thickness,20260712,3.602590978585e+08,3.915699223848e-02,2.553417978336e-02,1.533512827539e+00,second_order,-1.865995267834e+10,3.140616685674e+12,5.888995268975e+15,0.9108014530446962,-85.31645556965069,-89.31553868553961
MFM_t_7_mxi_186,f_thickness,20260712,3.806365165666e+08,6.501940387046e-02,4.257623466342e-02,1.527129028305e+00,second_order,-1.172780760171e+10,6.097539917688e+11,5.119787602968e+14,-36.577413417055496,-97.14917459664501,-99.07111196250482
MFM_t_7_mxi_187,f_thickness,20260712,2.550602745614e+08,3.870588116605e-02,2.234825363847e-02,1.731942092308e+00,second_order,-1.711893944377e+10,1.142352768090e+13,2.154596489150e+12,-7.422814565752267,-46.59078358114799,-99.99609089466281
MFM_t_7_mxi_188,f_thickness,20260712,4.566863701595e+08,1.468009908923e-01,8.532129872762e-02,1.720566764471e+00,second_order,-8.001209850561e+09,3.600478551815e+11,5.210469130788e+11,-56.73041017133309,-98.3166431284896,-99.99905465952483
MFM_t_7_mxi_189,f_thickness,20260712,5.298091941849e+08,9.310771306420e-02,5.801242022558e-02,1.604961708237e+00,second_order,-1.291924102936e+10,8.934247175476e+11,6.884814623145e+13,-30.134283354798253,-95.82290904995713,-99.87508813959188
MFM_t_7_mxi_190,f_thickness,20260712,5.614382753425e+08,1.368606102691e-01,8.101032147756e-02,1.689421888135e+00,second_order,-1.024866562071e+10,4.832173715074e+11,3.413497904764e+12,-44.5764370661783,-97.74078009060733,-99.99380685759715
MFM_t_7_mxi_191,f_thickness,20260712,2.877594144947e+08,1.141721594432e-01,6.758431391875e-02,1.689329266262e+00,second_order,-6.296131922225e+09,4.264355144851e+11,4.339871215119e+12,-65.95126851188003,-98.0062562705652,-99.9921261295026
MFM_t_7_mxi_192,f_thickness,20260712,5.290487504204e+08,3.816546571825e-02,2.308490297280e-02,1.653265156159e+00,second_order,-3.335899416405e+10,1.768429395141e+13,3.582048590305e+15,80.40146696991476,-17.319385985762338,-93.50105445129817
MFM_t_7_mxi_193,f_thickness,20260712,9.082557503083e+07,1.261387032002e-01,7.667579924518e-02,1.645091468781e+00,second_order,-1.717070983986e+09,8.041790483925e+10,1.728336103800e+12,-90.71428464301927,-99.62401655570096,-99.99686426302009
MFM_t_7_mxi_194,f_thickness,20260712,2.296823449889e+08,4.370136544588e-02,2.775699080419e-02,1.574427348922e+00,second_order,-1.142612744680e+10,2.810515526971e+12,1.661080662882e+15,-38.20886376096681,-86.85980056059952,-96.98628521977909
